;Tweets;Analysis;step01;tokens;tokens_perbaikan;Stop_removal;step02;ProcessedText
0;@Almaylifi tercium bau asap knalpot motor racing;0;user tercium bau asap knalpot motor racing;['user', 'tercium', 'bau', 'asap', 'knalpot', 'motor', 'racing'];['user', 'tercium', 'bau', 'asap', 'knalpot', 'motor', 'racing'];['user', 'tercium', 'bau', 'asap', 'knalpot', 'motor', 'racing'];user tercium bau asap knalpot motor racing;user cium bau asap knalpot motor racing
1;@hanajihyo iyaa, besok yang pake knalpot racing itu aku;0;user iyaa besok yang pake knalpot racing itu aku;['user', 'iyaa', 'besok', 'yang', 'pake', 'knalpot', 'racing', 'itu', 'aku'];['user', 'iyaa', 'besok', 'yang', 'pakai', 'knalpot', 'racing', 'itu', 'aku'];['user', 'iyaa', 'besok', 'pakai', 'knalpot', 'racing'];user iyaa besok pakai knalpot racing;user iyaa besok pakai knalpot racing
2;Motor bebek pake knalpot racing 75ribu, lewat gang kecil disumpahin ibu-ibu.;-1;motor bebek pake knalpot racing 7 5 ribu lewat gang kecil disumpahin ibu ibu;['motor', 'bebek', 'pake', 'knalpot', 'racing', '7', '5', 'ribu', 'lewat', 'gang', 'kecil', 'disumpahin', 'ibu', 'ibu'];['motor', 'bebek', 'pakai', 'knalpot', 'racing', '7', '5', 'ribu', 'lewat', 'gang', 'kecil', 'disumpahin', 'ibu', 'ibu'];['motor', 'bebek', 'pakai', 'knalpot', 'racing', '7', '5', 'ribu', 'gang', 'disumpahin'];motor bebek pakai knalpot racing 7 5 ribu gang disumpahin;motor bebek pakai knalpot racing 7 5 ribu gang disumpahin
3;@SeputarTetangga Ngebutnya sih gak kenceng tapi kalau suara knalpot mobil racing ya pasti keras suaranya kakau digas..;1;user ngebutnya sih gak kenceng tapi kalau suara knalpot mobil racing ya pasti keras suaranya kakau digas repeated;['user', 'ngebutnya', 'sih', 'gak', 'kenceng', 'tapi', 'kalau', 'suara', 'knalpot', 'mobil', 'racing', 'ya', 'pasti', 'keras', 'suaranya', 'kakau', 'digas', 'repeated'];['user', 'ngebutnya', 'sih', 'tidak', 'kenceng', 'tapi', 'kalau', 'suara', 'knalpot', 'mobil', 'racing', 'iya', 'pasti', 'keras', 'suaranya', 'kakau', 'digas', 'repeated'];['user', 'ngebutnya', 'sih', 'kenceng', 'suara', 'knalpot', 'mobil', 'racing', 'iya', 'keras', 'suaranya', 'kakau', 'digas', 'repeated'];user ngebutnya sih kenceng suara knalpot mobil racing iya keras suaranya kakau digas repeated;user ngebut sih kenceng suara knalpot mobil racing iya keras suara kakau gas repeated
4;@18fesss Knalpot racing original;1;user knalpot racing original;['user', 'knalpot', 'racing', 'original'];['user', 'knalpot', 'racing', 'original'];['user', 'knalpot', 'racing', 'original'];user knalpot racing original;user knalpot racing original
5;NJING JAMET BANGET LO. PASTI KALAU NAIK MOTOR SUKANYA PAKE KNALPOT RACING. https://t.co/0gy8TRZIxZ;1;allcaps njing jamet banget lo allcaps allcaps pasti kalau naik motor sukanya pake knalpot racing allcaps;['allcaps', 'njing', 'jamet', 'banget', 'lo', 'allcaps', 'allcaps', 'pasti', 'kalau', 'naik', 'motor', 'sukanya', 'pake', 'knalpot', 'racing', 'allcaps'];['allcaps', 'njing', 'jamet', 'banget', 'lo', 'allcaps', 'allcaps', 'pasti', 'kalau', 'naik', 'motor', 'sukanya', 'pakai', 'knalpot', 'racing', 'allcaps'];['allcaps', 'njing', 'jamet', 'banget', 'lo', 'allcaps', 'allcaps', 'motor', 'sukanya', 'pakai', 'knalpot', 'racing', 'allcaps'];allcaps njing jamet banget lo allcaps allcaps motor sukanya pakai knalpot racing allcaps;allcaps njing jamet banget lo allcaps allcaps motor suka pakai knalpot racing allcaps
6;"Pekain saja dengan pekajaman 

Ready bosqueee Fiz R Galvanish STD racing https://t.co/VgAN2Iie5n";0;pekain saja dengan pekajaman ready bosque elongated fiz galvanish allcaps std allcaps racing;['pekain', 'saja', 'dengan', 'pekajaman', 'ready', 'bosque', 'elongated', 'fiz', 'galvanish', 'allcaps', 'std', 'allcaps', 'racing'];['pekain', 'saja', 'dengan', 'pekajaman', 'ready', 'bosque', 'elongated', 'fiz', 'galvanish', 'allcaps', 'std', 'allcaps', 'racing'];['pekain', 'pekajaman', 'ready', 'bosque', 'elongated', 'fiz', 'galvanish', 'allcaps', 'std', 'allcaps', 'racing'];pekain pekajaman ready bosque elongated fiz galvanish allcaps std allcaps racing;kain pekajaman ready bosque elongated fiz galvanish allcaps std allcaps racing
7;Rasanya dah kaya oven apalagi surabaya tuh panas, belom lagi kalo ujan tar suaranya ngalahin knalpot racing wkwkwkwk https://t.co/ZOZk6ut6De;1;rasanya dah kaya oven apalagi surabaya tuh panas belom lagi kalo ujan tar suaranya ngalahin knalpot racing wkwkwkwk;['rasanya', 'dah', 'kaya', 'oven', 'apalagi', 'surabaya', 'tuh', 'panas', 'belom', 'lagi', 'kalo', 'ujan', 'tar', 'suaranya', 'ngalahin', 'knalpot', 'racing', 'wkwkwkwk'];['rasanya', 'sudah', 'kaya', 'oven', 'apalagi', 'surabaya', 'itu', 'panas', 'belum', 'lagi', 'kalau', 'ujan', 'tar', 'suaranya', 'ngalahin', 'knalpot', 'racing', 'wkwkwkwk'];['kaya', 'oven', 'surabaya', 'panas', 'ujan', 'tar', 'suaranya', 'ngalahin', 'knalpot', 'racing', 'wkwkwkwk'];kaya oven surabaya panas ujan tar suaranya ngalahin knalpot racing wkwkwkwk;kaya oven surabaya panas ujan tar suara ngalahin knalpot racing wkwkwkwk
8;Ie bengkel sebelah loba motor sonic pake knalpot racing, Vibes Tasikk pisann;0;ie bengkel sebelah loba motor sonic pake knalpot racing vibes tasikk pisann;['ie', 'bengkel', 'sebelah', 'loba', 'motor', 'sonic', 'pake', 'knalpot', 'racing', 'vibes', 'tasikk', 'pisann'];['ie', 'bengkel', 'sebelah', 'loba', 'motor', 'sonic', 'pakai', 'knalpot', 'racing', 'vibes', 'tasikk', 'pisann'];['ie', 'bengkel', 'sebelah', 'loba', 'motor', 'sonic', 'pakai', 'knalpot', 'racing', 'vibes', 'tasikk', 'pisann'];ie bengkel sebelah loba motor sonic pakai knalpot racing vibes tasikk pisann;ie bengkel belah loba motor sonic pakai knalpot racing vibes tasikk pisann
9;"Hujan plus lagu sedih, emang mendukung, sempat di upload terus di hapus, sekarang upload lagi,
Suara gua urak2an ke… https://t.co/RHzRS90aLf";1;hujan plus lagu sedih emang mendukung sempat di upload terus di hapus sekarang upload lagi suara gua urak2an ke;['hujan', 'plus', 'lagu', 'sedih', 'emang', 'mendukung', 'sempat', 'di', 'upload', 'terus', 'di', 'hapus', 'sekarang', 'upload', 'lagi', 'suara', 'gua', 'urak2an', 'ke'];['hujan', 'ditambah', 'lagu', 'sedih', 'memang', 'mendukung', 'sempat', 'di', 'mengunggah', 'terus', 'di', 'hapus', 'sekarang', 'mengunggah', 'lagi', 'suara', 'saya', 'urak2an', 'ke'];['hujan', 'ditambah', 'lagu', 'sedih', 'mendukung', 'mengunggah', 'hapus', 'mengunggah', 'suara', 'urak2an'];hujan ditambah lagu sedih mendukung mengunggah hapus mengunggah suara urak2an;hujan tambah lagu sedih dukung unggah hapus unggah suara urak2an
10;@Husen_Jafar Gara2 knalpot racing;0;user gara2 knalpot racing;['user', 'gara2', 'knalpot', 'racing'];['user', 'gara2', 'knalpot', 'racing'];['user', 'gara2', 'knalpot', 'racing'];user gara2 knalpot racing;user gara2 knalpot racing
11;"anjing udah bikin telinga budeg, pelan, disalip nggak mau dasar motor pake knalpot ""racing"" ini, dibalap pake beat gw palingan juga kalah";-1;anjing udah bikin telinga budeg pelan disalip nggak mau dasar motor pake knalpot racing ini dibalap pake beat gw palingan juga kalah;['anjing', 'udah', 'bikin', 'telinga', 'budeg', 'pelan', 'disalip', 'nggak', 'mau', 'dasar', 'motor', 'pake', 'knalpot', 'racing', 'ini', 'dibalap', 'pake', 'beat', 'gw', 'palingan', 'juga', 'kalah'];['anjing', 'sudah', 'membuat', 'telinga', 'budeg', 'pelan', 'disalip', 'nggak', 'mau', 'dasar', 'motor', 'pakai', 'knalpot', 'racing', 'ini', 'dibalap', 'pakai', 'beat', 'saya', 'palingan', 'juga', 'kalah'];['anjing', 'telinga', 'budeg', 'pelan', 'disalip', 'nggak', 'dasar', 'motor', 'pakai', 'knalpot', 'racing', 'dibalap', 'pakai', 'beat', 'palingan', 'kalah'];anjing telinga budeg pelan disalip nggak dasar motor pakai knalpot racing dibalap pakai beat palingan kalah;anjing telinga budeg pelan salip nggak dasar motor pakai knalpot racing balap pakai beat paling kalah
12;@tanyakanrl mimpi jadi rantai motor, pas motor nya di starter kaget ternyata pake knalpot racing eh tbtb pas motor… https://t.co/vBG5nJGA4A;1;user mimpi jadi rantai motor pas motor nya di starter kaget ternyata pake knalpot racing eh tbtb pas motor;['user', 'mimpi', 'jadi', 'rantai', 'motor', 'pas', 'motor', 'nya', 'di', 'starter', 'kaget', 'ternyata', 'pake', 'knalpot', 'racing', 'eh', 'tbtb', 'pas', 'motor'];['user', 'mimpi', 'jadi', 'rantai', 'motor', 'cocok', 'motor', 'nya', 'di', 'starter', 'kaget', 'ternyata', 'pakai', 'knalpot', 'racing', 'eh', 'tbtb', 'cocok', 'motor'];['user', 'mimpi', 'rantai', 'motor', 'cocok', 'motor', 'nya', 'starter', 'kaget', 'pakai', 'knalpot', 'racing', 'eh', 'tbtb', 'cocok', 'motor'];user mimpi rantai motor cocok motor nya starter kaget pakai knalpot racing eh tbtb cocok motor;user mimpi rantai motor cocok motor nya starter kaget pakai knalpot racing eh tbtb cocok motor
13;@hahahihiheheho_ @sbyfess Trantangtangtangtangtang... Kalah knalpot racing 😭;0;user user trantangtangtangtangtang repeated kalah knalpot racing;['user', 'user', 'trantangtangtangtangtang', 'repeated', 'kalah', 'knalpot', 'racing'];['user', 'user', 'trantangtangtangtangtang', 'repeated', 'kalah', 'knalpot', 'racing'];['user', 'user', 'trantangtangtangtangtang', 'repeated', 'kalah', 'knalpot', 'racing'];user user trantangtangtangtangtang repeated kalah knalpot racing;user user trantangtangtangtangtang repeated kalah knalpot racing
14;@sekarningrum__ @humanlangka @vellavelpi Izin ngetod knalpot Maman racing;0;user user user izin ngetod knalpot maman racing;['user', 'user', 'user', 'izin', 'ngetod', 'knalpot', 'maman', 'racing'];['user', 'user', 'user', 'izin', 'ngetod', 'knalpot', 'maman', 'racing'];['user', 'user', 'user', 'izin', 'ngetod', 'knalpot', 'maman', 'racing'];user user user izin ngetod knalpot maman racing;user user user izin ngetod knalpot maman racing
15;Nah jika berkendara dengan sepeda motor jangan lupa Helm dipakai untuk melindungi kepala dari benturan,jangan mengg… https://t.co/qQCNtppMbs;0;nah jika berkendara dengan sepeda motor jangan lupa helm dipakai untuk melindungi kepala dari benturan jangan mengg;['nah', 'jika', 'berkendara', 'dengan', 'sepeda', 'motor', 'jangan', 'lupa', 'helm', 'dipakai', 'untuk', 'melindungi', 'kepala', 'dari', 'benturan', 'jangan', 'mengg'];['nah', 'jika', 'berkendara', 'dengan', 'sepeda', 'motor', 'jangan', 'lupa', 'helm', 'dipakai', 'untuk', 'melindungi', 'kepala', 'dari', 'benturan', 'jangan', 'mengg'];['berkendara', 'sepeda', 'motor', 'lupa', 'helm', 'dipakai', 'melindungi', 'kepala', 'benturan', 'mengg'];berkendara sepeda motor lupa helm dipakai melindungi kepala benturan mengg;kendara sepeda motor lupa helm pakai lindung kepala bentur mengg
16;@unmagnetism saya sama knalpot racing;0;user saya sama knalpot racing;['user', 'saya', 'sama', 'knalpot', 'racing'];['user', 'saya', 'sama', 'knalpot', 'racing'];['user', 'knalpot', 'racing'];user knalpot racing;user knalpot racing
17;"""semakin lurus niat, makin kencang cobaannya""

Hey, knalpot racing! km kira kemarin niatku gak lurus?! kamunya aja yg available sana sini !";1;semakin lurus niat makin kencang cobaannya hey knalpot racing km kira kemarin niatku gak lurus repeated kamunya aja yg available sana sini;['semakin', 'lurus', 'niat', 'makin', 'kencang', 'cobaannya', 'hey', 'knalpot', 'racing', 'km', 'kira', 'kemarin', 'niatku', 'gak', 'lurus', 'repeated', 'kamunya', 'aja', 'yg', 'available', 'sana', 'sini'];['semakin', 'lurus', 'niat', 'makin', 'kencang', 'cobaannya', 'hey', 'knalpot', 'racing', 'kamu', 'kira', 'kemarin', 'niatku', 'tidak', 'lurus', 'repeated', 'kamunya', 'saja', 'yang', 'available', 'sana', 'sini'];['lurus', 'niat', 'kencang', 'cobaannya', 'hey', 'knalpot', 'racing', 'kemarin', 'niatku', 'lurus', 'repeated', 'kamunya', 'available'];lurus niat kencang cobaannya hey knalpot racing kemarin niatku lurus repeated kamunya available;lurus niat kencang coba hey knalpot racing kemarin niat lurus repeated kamu available
18;"STOP GUNAKAN KNALPOT RACING.

#stoppungli #polripresisi #kutaitimur #polreskutim #poldakaltim #ditlantaspoldakaltim… https://t.co/eBK7MDDqoy";0;allcaps stop gunakan knalpot racing allcaps hashtag stopp ungli hashtag hashtag pol rip resis hashtag hashtag kuta timur hashtag hashtag pol re skut hashtag hashtag pol da kaltim hashtag hashtag ditlantaspoldakaltim hashtag;['allcaps', 'stop', 'gunakan', 'knalpot', 'racing', 'allcaps', 'hashtag', 'stopp', 'ungli', 'hashtag', 'hashtag', 'pol', 'rip', 'resis', 'hashtag', 'hashtag', 'kuta', 'timur', 'hashtag', 'hashtag', 'pol', 're', 'skut', 'hashtag', 'hashtag', 'pol', 'da', 'kaltim', 'hashtag', 'hashtag', 'ditlantaspoldakaltim', 'hashtag'];['allcaps', 'stop', 'gunakan', 'knalpot', 'racing', 'allcaps', 'hashtag', 'stopp', 'ungli', 'hashtag', 'hashtag', 'pol', 'rip', 'resis', 'hashtag', 'hashtag', 'kuta', 'timur', 'hashtag', 'hashtag', 'pol', 're', 'skut', 'hashtag', 'hashtag', 'pol', 'da', 'kaltim', 'hashtag', 'hashtag', 'ditlantaspoldakaltim', 'hashtag'];['allcaps', 'stop', 'knalpot', 'racing', 'allcaps', 'hashtag', 'stopp', 'ungli', 'hashtag', 'hashtag', 'pol', 'rip', 'resis', 'hashtag', 'hashtag', 'kuta', 'timur', 'hashtag', 'hashtag', 'pol', 're', 'skut', 'hashtag', 'hashtag', 'pol', 'da', 'kaltim', 'hashtag', 'hashtag', 'ditlantaspoldakaltim', 'hashtag'];allcaps stop knalpot racing allcaps hashtag stopp ungli hashtag hashtag pol rip resis hashtag hashtag kuta timur hashtag hashtag pol re skut hashtag hashtag pol da kaltim hashtag hashtag ditlantaspoldakaltim hashtag;allcaps stop knalpot racing allcaps hashtag stopp ungli hashtag hashtag pol rip resis hashtag hashtag kuta timur hashtag hashtag pol re skut hashtag hashtag pol da kaltim hashtag hashtag ditlantaspoldakaltim hashtag
19;@ahmedzulfi @fasabimuhammad @RadioElshinta Knalpot nya racing kali mas;0;user user user knalpot nya racing kali mas;['user', 'user', 'user', 'knalpot', 'nya', 'racing', 'kali', 'mas'];['user', 'user', 'user', 'knalpot', 'nya', 'racing', 'kali', 'mas'];['user', 'user', 'user', 'knalpot', 'nya', 'racing', 'kali', 'mas'];user user user knalpot nya racing kali mas;user user user knalpot nya racing kali mas
20;Temukan dan dapatkan (SECOND/NEW ORIGINAL) Slincer Knalpot Racing Second Original dari berbagai Merk lokal dan luar… https://t.co/pwFvRLFXtE;1;temukan dan dapatkan allcaps second allcaps allcaps new original allcaps slincer knalpot racing second original dari berbagai merk lokal dan luar;['temukan', 'dan', 'dapatkan', 'allcaps', 'second', 'allcaps', 'allcaps', 'new', 'original', 'allcaps', 'slincer', 'knalpot', 'racing', 'second', 'original', 'dari', 'berbagai', 'merk', 'lokal', 'dan', 'luar'];['temukan', 'dan', 'dapatkan', 'allcaps', 'second', 'allcaps', 'allcaps', 'new', 'original', 'allcaps', 'slincer', 'knalpot', 'racing', 'second', 'original', 'dari', 'berbagai', 'merk', 'lokal', 'dan', 'luar'];['temukan', 'dapatkan', 'allcaps', 'second', 'allcaps', 'allcaps', 'new', 'original', 'allcaps', 'slincer', 'knalpot', 'racing', 'second', 'original', 'merk', 'lokal'];temukan dapatkan allcaps second allcaps allcaps new original allcaps slincer knalpot racing second original merk lokal;temu dapat allcaps second allcaps allcaps new original allcaps slincer knalpot racing second original merk lokal
21;"RT @Mad_Beckhen: jenenge mantan nang kontak ku :

1.Gethuk lindri (polahe warna warni,rodok manis,omongane nyereti)
2.Knalpot Racing (liyan…";1;rt user jenenge mantan nang kontak ku number gethuk lindri polahe warna warni rodok manis omongane nyereti number knalpot racing liyan;['rt', 'user', 'jenenge', 'mantan', 'nang', 'kontak', 'ku', 'number', 'gethuk', 'lindri', 'polahe', 'warna', 'warni', 'rodok', 'manis', 'omongane', 'nyereti', 'number', 'knalpot', 'racing', 'liyan'];['rt', 'user', 'jenenge', 'mantan', 'nang', 'kontak', 'ku', 'number', 'gethuk', 'lindri', 'polahe', 'warna', 'warni', 'rodok', 'manis', 'omongane', 'nyereti', 'number', 'knalpot', 'racing', 'liyan'];['rt', 'user', 'jenenge', 'mantan', 'nang', 'kontak', 'ku', 'number', 'gethuk', 'lindri', 'polahe', 'warna', 'warni', 'rodok', 'manis', 'omongane', 'nyereti', 'number', 'knalpot', 'racing', 'liyan'];rt user jenenge mantan nang kontak ku number gethuk lindri polahe warna warni rodok manis omongane nyereti number knalpot racing liyan;rt user jenenge mantan nang kontak ku number gethuk lindri polahe warna warni rodok manis omongane nyereti number knalpot racing liyan
22;"Modif:
-Velg Tk racing 3.5 &amp; 5 inch(powder coating Hitam doff)
-Ban Bridgestone Battlax s22 120/70 &amp;160/60, Rantai… https://t.co/XlNJ3Jyzp5";-1;modif velg tk racing number number inch powder coating hitam doff ban bridgestone battlax s22 number number number number rantai;['modif', 'velg', 'tk', 'racing', 'number', 'number', 'inch', 'powder', 'coating', 'hitam', 'doff', 'ban', 'bridgestone', 'battlax', 's22', 'number', 'number', 'number', 'number', 'rantai'];['modif', 'velg', 'tingkat', 'racing', 'number', 'number', 'inch', 'powder', 'coating', 'hitam', 'doff', 'ban', 'bridgestone', 'battlax', 's22', 'number', 'number', 'number', 'number', 'rantai'];['modif', 'velg', 'tingkat', 'racing', 'number', 'number', 'inch', 'powder', 'coating', 'hitam', 'doff', 'ban', 'bridgestone', 'battlax', 's22', 'number', 'number', 'number', 'number', 'rantai'];modif velg tingkat racing number number inch powder coating hitam doff ban bridgestone battlax s22 number number number number rantai;modif velg tingkat racing number number inch powder coating hitam doff ban bridgestone battlax s22 number number number number rantai
23;"jenenge mantan nang kontak ku :

1.Gethuk lindri (polahe warna warni,rodok manis,omongane nyereti)
2.Knalpot Racing… https://t.co/pWFZmVtYff";1;jenenge mantan nang kontak ku number gethuk lindri polahe warna warni rodok manis omongane nyereti number knalpot racing;['jenenge', 'mantan', 'nang', 'kontak', 'ku', 'number', 'gethuk', 'lindri', 'polahe', 'warna', 'warni', 'rodok', 'manis', 'omongane', 'nyereti', 'number', 'knalpot', 'racing'];['jenenge', 'mantan', 'nang', 'kontak', 'ku', 'number', 'gethuk', 'lindri', 'polahe', 'warna', 'warni', 'rodok', 'manis', 'omongane', 'nyereti', 'number', 'knalpot', 'racing'];['jenenge', 'mantan', 'nang', 'kontak', 'ku', 'number', 'gethuk', 'lindri', 'polahe', 'warna', 'warni', 'rodok', 'manis', 'omongane', 'nyereti', 'number', 'knalpot', 'racing'];jenenge mantan nang kontak ku number gethuk lindri polahe warna warni rodok manis omongane nyereti number knalpot racing;jenenge mantan nang kontak ku number gethuk lindri polahe warna warni rodok manis omongane nyereti number knalpot racing
24;@ctrpriyo @byonyyy bisa aja knalpot racing;0;user user bisa aja knalpot racing;['user', 'user', 'bisa', 'aja', 'knalpot', 'racing'];['user', 'user', 'bisa', 'saja', 'knalpot', 'racing'];['user', 'user', 'knalpot', 'racing'];user user knalpot racing;user user knalpot racing
25;@convomfs —kan itu tugasnya mereka. Coba dibalik, orang mau pake narkoba/gak itu terserah mereka kan? Atau anak mud… https://t.co/mtfwz1yEG4;-1;user kan itu tugasnya mereka coba dibalik orang mau pake narkoba gak itu terserah mereka kan atau anak mud;['user', 'kan', 'itu', 'tugasnya', 'mereka', 'coba', 'dibalik', 'orang', 'mau', 'pake', 'narkoba', 'gak', 'itu', 'terserah', 'mereka', 'kan', 'atau', 'anak', 'mud'];['user', 'kan', 'itu', 'tugasnya', 'mereka', 'coba', 'dibalik', 'orang', 'mau', 'pakai', 'narkoba', 'tidak', 'itu', 'terserah', 'mereka', 'kan', 'atau', 'anak', 'mud'];['user', 'tugasnya', 'coba', 'dibalik', 'orang', 'pakai', 'narkoba', 'terserah', 'anak', 'mud'];user tugasnya coba dibalik orang pakai narkoba terserah anak mud;user tugas coba balik orang pakai narkoba serah anak mud
26;"Sangat ironis... 🙄
Plat nomor gk ada, lampu gk ada, knalpot racing, spion gk ada, surat2 GK bawa, apa lagi nih? https://t.co/kSRF8UPM3n";1;sangat ironis repeated plat nomor gk ada lampu gk ada knalpot racing spion gk ada surat2 gk bawa apa lagi nih;['sangat', 'ironis', 'repeated', 'plat', 'nomor', 'gk', 'ada', 'lampu', 'gk', 'ada', 'knalpot', 'racing', 'spion', 'gk', 'ada', 'surat2', 'gk', 'bawa', 'apa', 'lagi', 'nih'];['sangat', 'ironis', 'repeated', 'plat', 'nomor', 'tidak', 'ada', 'lampu', 'tidak', 'ada', 'knalpot', 'racing', 'spion', 'tidak', 'ada', 'surat2', 'tidak', 'bawa', 'apa', 'lagi', 'ini'];['ironis', 'repeated', 'plat', 'nomor', 'lampu', 'knalpot', 'racing', 'spion', 'surat2', 'bawa'];ironis repeated plat nomor lampu knalpot racing spion surat2 bawa;ironis repeated plat nomor lampu knalpot racing spion surat2 bawa
27;@txtdrberseragam Kirain razia knalpot racing 😂;0;user kirain razia knalpot racing;['user', 'kirain', 'razia', 'knalpot', 'racing'];['user', 'prasangka', 'razia', 'knalpot', 'racing'];['user', 'prasangka', 'razia', 'knalpot', 'racing'];user prasangka razia knalpot racing;user prasangka razia knalpot racing
28;"@Askrlfess salah nder, mbamu gak sehrsnya melakukan kekerasan yg nanggung.
hrsnya skln noh palanya dikeplak pakai knalpot racing.";-1;user salah nder mbamu gak sehrsnya melakukan kekerasan yg nanggung hrsnya skln noh palanya dikeplak pakai knalpot racing;['user', 'salah', 'nder', 'mbamu', 'gak', 'sehrsnya', 'melakukan', 'kekerasan', 'yg', 'nanggung', 'hrsnya', 'skln', 'noh', 'palanya', 'dikeplak', 'pakai', 'knalpot', 'racing'];['user', 'salah', 'nder', 'mbamu', 'tidak', 'sehrsnya', 'melakukan', 'kekerasan', 'yang', 'nanggung', 'seharusnya', 'skln', 'noh', 'palanya', 'dikeplak', 'pakai', 'knalpot', 'racing'];['user', 'salah', 'nder', 'mbamu', 'sehrsnya', 'kekerasan', 'nanggung', 'skln', 'noh', 'palanya', 'dikeplak', 'pakai', 'knalpot', 'racing'];user salah nder mbamu sehrsnya kekerasan nanggung skln noh palanya dikeplak pakai knalpot racing;user salah nder mbamu sehrsnya keras nanggung skln noh pala keplak pakai knalpot racing
