;Tweets;Analysis;step01;tokens;tokens_perbaikan;Stop_removal;step02;ProcessedText
65;"Orang yang make knalpot racing harusnya dihukum dengar babyshark 24 jam nonstop

#knalpot #racing #motorin";0;orang yang make knalpot racing harusnya dihukum dengar babyshark number jam nonstop hashtag knalpot hashtag hashtag racing hashtag hashtag motor in hashtag;['orang', 'yang', 'make', 'knalpot', 'racing', 'harusnya', 'dihukum', 'dengar', 'babyshark', 'number', 'jam', 'nonstop', 'hashtag', 'knalpot', 'hashtag', 'hashtag', 'racing', 'hashtag', 'hashtag', 'motor', 'in', 'hashtag'];['orang', 'yang', 'make', 'knalpot', 'racing', 'harusnya', 'dihukum', 'dengar', 'babyshark', 'number', 'jam', 'nonstop', 'hashtag', 'knalpot', 'hashtag', 'hashtag', 'racing', 'hashtag', 'hashtag', 'motor', 'in', 'hashtag'];['orang', 'make', 'knalpot', 'racing', 'dihukum', 'dengar', 'babyshark', 'number', 'jam', 'nonstop', 'hashtag', 'knalpot', 'hashtag', 'hashtag', 'racing', 'hashtag', 'hashtag', 'motor', 'in', 'hashtag'];orang make knalpot racing dihukum dengar babyshark number jam nonstop hashtag knalpot hashtag hashtag racing hashtag hashtag motor in hashtag;orang make knalpot racing hukum dengar babyshark number jam nonstop hashtag knalpot hashtag hashtag racing hashtag hashtag motor in hashtag
66;RT @ardianrm: @ezash Ada matic make knalpot racing aja udah aneh 😓;-1;rt user user ada matic make knalpot racing aja udah aneh;['rt', 'user', 'user', 'ada', 'matic', 'make', 'knalpot', 'racing', 'aja', 'udah', 'aneh'];['rt', 'user', 'user', 'ada', 'matic', 'make', 'knalpot', 'racing', 'saja', 'sudah', 'aneh'];['rt', 'user', 'user', 'matic', 'make', 'knalpot', 'racing', 'aneh'];rt user user matic make knalpot racing aneh;rt user user matic make knalpot racing aneh
67;RT @ardianrm: @ezash Ada matic make knalpot racing aja udah aneh 😓;-1;rt user user ada matic make knalpot racing aja udah aneh;['rt', 'user', 'user', 'ada', 'matic', 'make', 'knalpot', 'racing', 'aja', 'udah', 'aneh'];['rt', 'user', 'user', 'ada', 'matic', 'make', 'knalpot', 'racing', 'saja', 'sudah', 'aneh'];['rt', 'user', 'user', 'matic', 'make', 'knalpot', 'racing', 'aneh'];rt user user matic make knalpot racing aneh;rt user user matic make knalpot racing aneh
68;RT @ardianrm: @ezash Ada matic make knalpot racing aja udah aneh 😓;-1;rt user user ada matic make knalpot racing aja udah aneh;['rt', 'user', 'user', 'ada', 'matic', 'make', 'knalpot', 'racing', 'aja', 'udah', 'aneh'];['rt', 'user', 'user', 'ada', 'matic', 'make', 'knalpot', 'racing', 'saja', 'sudah', 'aneh'];['rt', 'user', 'user', 'matic', 'make', 'knalpot', 'racing', 'aneh'];rt user user matic make knalpot racing aneh;rt user user matic make knalpot racing aneh
69;Motor matic pake knalpot racing aja udah aneh https://t.co/c092ablSjj;-1;motor matic pake knalpot racing aja udah aneh;['motor', 'matic', 'pake', 'knalpot', 'racing', 'aja', 'udah', 'aneh'];['motor', 'matic', 'pakai', 'knalpot', 'racing', 'saja', 'sudah', 'aneh'];['motor', 'matic', 'pakai', 'knalpot', 'racing', 'aneh'];motor matic pakai knalpot racing aneh;motor matic pakai knalpot racing aneh
70;RT @ardianrm: @ezash Ada matic make knalpot racing aja udah aneh 😓;-1;rt user user ada matic make knalpot racing aja udah aneh;['rt', 'user', 'user', 'ada', 'matic', 'make', 'knalpot', 'racing', 'aja', 'udah', 'aneh'];['rt', 'user', 'user', 'ada', 'matic', 'make', 'knalpot', 'racing', 'saja', 'sudah', 'aneh'];['rt', 'user', 'user', 'matic', 'make', 'knalpot', 'racing', 'aneh'];rt user user matic make knalpot racing aneh;rt user user matic make knalpot racing aneh
71;@ezash Ada matic make knalpot racing aja udah aneh 😓;-1;user ada matic make knalpot racing aja udah aneh;['user', 'ada', 'matic', 'make', 'knalpot', 'racing', 'aja', 'udah', 'aneh'];['user', 'ada', 'matic', 'make', 'knalpot', 'racing', 'saja', 'sudah', 'aneh'];['user', 'matic', 'make', 'knalpot', 'racing', 'aneh'];user matic make knalpot racing aneh;user matic make knalpot racing aneh
72;@kanbmoto @JlMINCLASSY WKWKWKWKW Besok kita lihat ada yang jadi knalpot racing. 🤩;0;user user allcaps wkwkwkwkw allcaps besok kita lihat ada yang jadi knalpot racing;['user', 'user', 'allcaps', 'wkwkwkwkw', 'allcaps', 'besok', 'kita', 'lihat', 'ada', 'yang', 'jadi', 'knalpot', 'racing'];['user', 'user', 'allcaps', 'wkwkwkwkw', 'allcaps', 'besok', 'kita', 'lihat', 'ada', 'yang', 'jadi', 'knalpot', 'racing'];['user', 'user', 'allcaps', 'wkwkwkwkw', 'allcaps', 'besok', 'lihat', 'knalpot', 'racing'];user user allcaps wkwkwkwkw allcaps besok lihat knalpot racing;user user allcaps wkwkwkwkw allcaps besok lihat knalpot racing
73;@satriovaz_ @maxversatan @bangopang_ @Arief_Raa CB yang divideo itu knalpot pake ori GL yang udah dibedel/bobok. Ka… https://t.co/MfH1YjpMgn;0;user user user user cb yang divideo itu knalpot pake ori gl yang udah dibedel bobok ka;['user', 'user', 'user', 'user', 'cb', 'yang', 'divideo', 'itu', 'knalpot', 'pake', 'ori', 'gl', 'yang', 'udah', 'dibedel', 'bobok', 'ka'];['user', 'user', 'user', 'user', 'cb', 'yang', 'divideo', 'itu', 'knalpot', 'pakai', 'ori', 'gl', 'yang', 'sudah', 'dibedel', 'bobok', 'ka'];['user', 'user', 'user', 'user', 'cb', 'divideo', 'knalpot', 'pakai', 'ori', 'gl', 'dibedel', 'bobok', 'ka'];user user user user cb divideo knalpot pakai ori gl dibedel bobok ka;user user user user cb video knalpot pakai ori gl bedel bobok ka
74;@podcastretropus Cot banget knalpot racing;1;user cot banget knalpot racing;['user', 'cot', 'banget', 'knalpot', 'racing'];['user', 'cot', 'banget', 'knalpot', 'racing'];['user', 'cot', 'banget', 'knalpot', 'racing'];user cot banget knalpot racing;user cot banget knalpot racing
75;@tololmeroket Lah terus itu kenapa knalpot racing ga ditutup aja pabrik nya pak ? Ato pabrik pisau dapur aja sekali… https://t.co/P1CVi6qpy7;-1;user lah terus itu kenapa knalpot racing ga ditutup aja pabrik nya pak ato pabrik pisau dapur aja sekali;['user', 'lah', 'terus', 'itu', 'kenapa', 'knalpot', 'racing', 'ga', 'ditutup', 'aja', 'pabrik', 'nya', 'pak', 'ato', 'pabrik', 'pisau', 'dapur', 'aja', 'sekali'];['user', 'lah', 'terus', 'itu', 'kenapa', 'knalpot', 'racing', 'tidak', 'ditutup', 'saja', 'pabrik', 'nya', 'pak', 'ato', 'pabrik', 'pisau', 'dapur', 'saja', 'sekali'];['user', 'knalpot', 'racing', 'ditutup', 'pabrik', 'nya', 'ato', 'pabrik', 'pisau', 'dapur'];user knalpot racing ditutup pabrik nya ato pabrik pisau dapur;user knalpot racing tutup pabrik nya ato pabrik pisau dapur
76;kamu kalo ga kerja mending jadi knalpot racing aja;1;kamu kalo ga kerja mending jadi knalpot racing aja;['kamu', 'kalo', 'ga', 'kerja', 'mending', 'jadi', 'knalpot', 'racing', 'aja'];['kamu', 'kalau', 'tidak', 'kerja', 'baiknya', 'jadi', 'knalpot', 'racing', 'saja'];['kerja', 'baiknya', 'knalpot', 'racing'];kerja baiknya knalpot racing;kerja baik knalpot racing
77;Motor bebek pake knalpot racing 75ribu, lewat gang kecil disumpahin ibu-ibu.;-1;motor bebek pake knalpot racing 7 5 ribu lewat gang kecil disumpahin ibu ibu;['motor', 'bebek', 'pake', 'knalpot', 'racing', '7', '5', 'ribu', 'lewat', 'gang', 'kecil', 'disumpahin', 'ibu', 'ibu'];['motor', 'bebek', 'pakai', 'knalpot', 'racing', '7', '5', 'ribu', 'lewat', 'gang', 'kecil', 'disumpahin', 'ibu', 'ibu'];['motor', 'bebek', 'pakai', 'knalpot', 'racing', '7', '5', 'ribu', 'gang', 'disumpahin'];motor bebek pakai knalpot racing 7 5 ribu gang disumpahin;motor bebek pakai knalpot racing 7 5 ribu gang disumpahin
78;RT @Anarkocheng: Ga kebayang kalo pecahnya dijalan kena muka pengendara lain. Semakin ada alasan buat anjing-anjingin knalpot berisik sok r…;1;rt user ga kebayang kalo pecahnya dijalan kena muka pengendara lain semakin ada alasan buat anjing anjingin knalpot berisik sok;['rt', 'user', 'ga', 'kebayang', 'kalo', 'pecahnya', 'dijalan', 'kena', 'muka', 'pengendara', 'lain', 'semakin', 'ada', 'alasan', 'buat', 'anjing', 'anjingin', 'knalpot', 'berisik', 'sok'];['rt', 'user', 'tidak', 'kebayang', 'kalau', 'pecahnya', 'dijalan', 'kena', 'muka', 'pengendara', 'lain', 'semakin', 'ada', 'alasan', 'buat', 'anjing', 'anjingin', 'knalpot', 'berisik', 'sok'];['rt', 'user', 'kebayang', 'pecahnya', 'dijalan', 'kena', 'muka', 'pengendara', 'alasan', 'anjing', 'anjingin', 'knalpot', 'berisik', 'sok'];rt user kebayang pecahnya dijalan kena muka pengendara alasan anjing anjingin knalpot berisik sok;rt user bayang pecah jalan kena muka kendara alas anjing anjingin knalpot berisik sok
79;@BijiSalak18 @Rizkywinaya @ernestprakasa pake fake knalpot racing yg isinya speaker kang tahu bulat aja 🤘🏻;-1;user user user pake fake knalpot racing yg isinya speaker kang tahu bulat aja;['user', 'user', 'user', 'pake', 'fake', 'knalpot', 'racing', 'yg', 'isinya', 'speaker', 'kang', 'tahu', 'bulat', 'aja'];['user', 'user', 'user', 'pakai', 'fake', 'knalpot', 'racing', 'yang', 'isinya', 'speaker', 'kang', 'tahu', 'bulat', 'saja'];['user', 'user', 'user', 'pakai', 'fake', 'knalpot', 'racing', 'isinya', 'speaker', 'kang', 'bulat'];user user user pakai fake knalpot racing isinya speaker kang bulat;user user user pakai fake knalpot racing isi speaker kang bulat
80;Ga kebayang kalo pecahnya dijalan kena muka pengendara lain. Semakin ada alasan buat anjing-anjingin knalpot berisi… https://t.co/QxRbA5vqNt;1;ga kebayang kalo pecahnya dijalan kena muka pengendara lain semakin ada alasan buat anjing anjingin knalpot berisi;['ga', 'kebayang', 'kalo', 'pecahnya', 'dijalan', 'kena', 'muka', 'pengendara', 'lain', 'semakin', 'ada', 'alasan', 'buat', 'anjing', 'anjingin', 'knalpot', 'berisi'];['tidak', 'kebayang', 'kalau', 'pecahnya', 'dijalan', 'kena', 'muka', 'pengendara', 'lain', 'semakin', 'ada', 'alasan', 'buat', 'anjing', 'anjingin', 'knalpot', 'berisi'];['kebayang', 'pecahnya', 'dijalan', 'kena', 'muka', 'pengendara', 'alasan', 'anjing', 'anjingin', 'knalpot', 'berisi'];kebayang pecahnya dijalan kena muka pengendara alasan anjing anjingin knalpot berisi;bayang pecah jalan kena muka kendara alas anjing anjingin knalpot isi
81;tolonglah motor kalo cuman 1 silinder jangan ganti knalpot racing;0;tolonglah motor kalo cuman number silinder jangan ganti knalpot racing;['tolonglah', 'motor', 'kalo', 'cuman', 'number', 'silinder', 'jangan', 'ganti', 'knalpot', 'racing'];['tolonglah', 'motor', 'kalau', 'cuma', 'number', 'silinder', 'jangan', 'ganti', 'knalpot', 'racing'];['tolonglah', 'motor', 'number', 'silinder', 'ganti', 'knalpot', 'racing'];tolonglah motor number silinder ganti knalpot racing;tolong motor number silinder ganti knalpot racing
82;@Arief_Raa tambahan buat ngabers matic yang pake knalpot racing: itu knalpot cuman ngeden doang bang, gaenak di telinga;0;user tambahan buat ngabers matic yang pake knalpot racing itu knalpot cuman ngeden doang bang gaenak di telinga;['user', 'tambahan', 'buat', 'ngabers', 'matic', 'yang', 'pake', 'knalpot', 'racing', 'itu', 'knalpot', 'cuman', 'ngeden', 'doang', 'bang', 'gaenak', 'di', 'telinga'];['user', 'tambahan', 'buat', 'ngabers', 'matic', 'yang', 'pakai', 'knalpot', 'racing', 'itu', 'knalpot', 'cuma', 'ngeden', 'saja', 'bang', 'gaenak', 'di', 'telinga'];['user', 'tambahan', 'ngabers', 'matic', 'pakai', 'knalpot', 'racing', 'knalpot', 'ngeden', 'bang', 'gaenak', 'telinga'];user tambahan ngabers matic pakai knalpot racing knalpot ngeden bang gaenak telinga;user tambah ngabers matic pakai knalpot racing knalpot ngeden bang gaenak telinga
83;Saya menjual Knalpot Racing Fulls... seharga Rp955.000. Dapatkan di Shopee sekarang! https://t.co/iBjfN1jlf6… https://t.co/IR2aCDxofp;0;saya menjual knalpot racing fulls repeated seharga rp955 number dapatkan di shopee sekarang;['saya', 'menjual', 'knalpot', 'racing', 'fulls', 'repeated', 'seharga', 'rp955', 'number', 'dapatkan', 'di', 'shopee', 'sekarang'];['saya', 'menjual', 'knalpot', 'racing', 'fulls', 'repeated', 'seharga', 'rp955', 'number', 'dapatkan', 'di', 'shopee', 'sekarang'];['menjual', 'knalpot', 'racing', 'fulls', 'repeated', 'seharga', 'rp955', 'number', 'dapatkan', 'shopee'];menjual knalpot racing fulls repeated seharga rp955 number dapatkan shopee;jual knalpot racing fulls repeated harga rp955 number dapat shopee
84;Saya menjual Knalpot Mobil Racing... seharga Rp575.000. Dapatkan di Shopee sekarang! https://t.co/fdNlXAGaKG… https://t.co/mggJJAkO7t;0;saya menjual knalpot mobil racing repeated seharga rp575 number dapatkan di shopee sekarang;['saya', 'menjual', 'knalpot', 'mobil', 'racing', 'repeated', 'seharga', 'rp575', 'number', 'dapatkan', 'di', 'shopee', 'sekarang'];['saya', 'menjual', 'knalpot', 'mobil', 'racing', 'repeated', 'seharga', 'rp575', 'number', 'dapatkan', 'di', 'shopee', 'sekarang'];['menjual', 'knalpot', 'mobil', 'racing', 'repeated', 'seharga', 'rp575', 'number', 'dapatkan', 'shopee'];menjual knalpot mobil racing repeated seharga rp575 number dapatkan shopee;jual knalpot mobil racing repeated harga rp575 number dapat shopee
85;Motor 150 cc kalau riding sama nyalip gausah banyak gaya. Mau pake knalpot racing mahal pun suara lu ttp jelek, gau… https://t.co/X655JbTkU7;-1;motor number cc kalau riding sama nyalip gausah banyak gaya mau pake knalpot racing mahal pun suara lu ttp jelek gau;['motor', 'number', 'cc', 'kalau', 'riding', 'sama', 'nyalip', 'gausah', 'banyak', 'gaya', 'mau', 'pake', 'knalpot', 'racing', 'mahal', 'pun', 'suara', 'lu', 'ttp', 'jelek', 'gau'];['motor', 'number', 'cc', 'kalau', 'riding', 'sama', 'nyalip', 'gausah', 'banyak', 'gaya', 'mau', 'pakai', 'knalpot', 'racing', 'mahal', 'pun', 'suara', 'kamu', 'tetap', 'jelek', 'gau'];['motor', 'number', 'cc', 'riding', 'nyalip', 'gausah', 'gaya', 'pakai', 'knalpot', 'racing', 'mahal', 'suara', 'jelek', 'gau'];motor number cc riding nyalip gausah gaya pakai knalpot racing mahal suara jelek gau;motor number cc riding nyalip gausah gaya pakai knalpot racing mahal suara jelek gau
86;"SI TOLOL SI KNTL SI PALING ON TIME

-Punya kendaraan akselarasi harus oke,
-Top speed harus dpt 120 km++,
-Knalpot… https://t.co/9gncp4LO5F";1;allcaps si tolol si kntl si paling on time allcaps punya kendaraan akselarasi harus oke top speed harus dpt number km knalpot;['allcaps', 'si', 'tolol', 'si', 'kntl', 'si', 'paling', 'on', 'time', 'allcaps', 'punya', 'kendaraan', 'akselarasi', 'harus', 'oke', 'top', 'speed', 'harus', 'dpt', 'number', 'km', 'knalpot'];['allcaps', 'sih', 'tolol', 'sih', 'kntl', 'sih', 'paling', 'on', 'time', 'allcaps', 'punya', 'kendaraan', 'akselarasi', 'harus', 'oke', 'top', 'speed', 'harus', 'dapat ', 'number', 'kamu', 'knalpot'];['allcaps', 'sih', 'tolol', 'sih', 'kntl', 'sih', 'on', 'time', 'allcaps', 'kendaraan', 'akselarasi', 'oke', 'top', 'speed', 'dapat ', 'number', 'knalpot'];allcaps sih tolol sih kntl sih on time allcaps kendaraan akselarasi oke top speed dapat  number knalpot;allcaps sih tolol sih kntl sih on time allcaps kendara akselarasi oke top speed dapat number knalpot
87;Motor bebek pake knalpot racing 75ribu, lewat gang kecil disumpahin ibu-ibu.;-1;motor bebek pake knalpot racing 7 5 ribu lewat gang kecil disumpahin ibu ibu;['motor', 'bebek', 'pake', 'knalpot', 'racing', '7', '5', 'ribu', 'lewat', 'gang', 'kecil', 'disumpahin', 'ibu', 'ibu'];['motor', 'bebek', 'pakai', 'knalpot', 'racing', '7', '5', 'ribu', 'lewat', 'gang', 'kecil', 'disumpahin', 'ibu', 'ibu'];['motor', 'bebek', 'pakai', 'knalpot', 'racing', '7', '5', 'ribu', 'gang', 'disumpahin'];motor bebek pakai knalpot racing 7 5 ribu gang disumpahin;motor bebek pakai knalpot racing 7 5 ribu gang disumpahin
88;Mending jamal knalpot atau jamal racing ya;1;mending jamal knalpot atau jamal racing ya;['mending', 'jamal', 'knalpot', 'atau', 'jamal', 'racing', 'ya'];['baiknya', 'jamal', 'knalpot', 'atau', 'jamal', 'racing', 'iya'];['baiknya', 'jamal', 'knalpot', 'jamal', 'racing', 'iya'];baiknya jamal knalpot jamal racing iya;baik jamal knalpot jamal racing iya
89;"@izdhaarul mo kenceng, korek harian low budget cukup pake cdi racing &amp; ganti knalpot

pengalaman pribadi waktu akti… https://t.co/c9dKqEfBjK";1;user mo kenceng korek harian low budget cukup pake cdi racing ganti knalpot pengalaman pribadi waktu akti;['user', 'mo', 'kenceng', 'korek', 'harian', 'low', 'budget', 'cukup', 'pake', 'cdi', 'racing', 'ganti', 'knalpot', 'pengalaman', 'pribadi', 'waktu', 'akti'];['user', 'mo', 'kenceng', 'korek', 'harian', 'low', 'budget', 'cukup', 'pakai', 'cdi', 'racing', 'ganti', 'knalpot', 'pengalaman', 'pribadi', 'waktu', 'akti'];['user', 'mo', 'kenceng', 'korek', 'harian', 'low', 'budget', 'pakai', 'cdi', 'racing', 'ganti', 'knalpot', 'pengalaman', 'pribadi', 'akti'];user mo kenceng korek harian low budget pakai cdi racing ganti knalpot pengalaman pribadi akti;user mo kenceng korek hari low budget pakai cdi racing ganti knalpot alam pribadi akti
90;@favoritever lebih kek knalpot racing si;1;user lebih kek knalpot racing si;['user', 'lebih', 'kek', 'knalpot', 'racing', 'si'];['user', 'lebih', 'kayak', 'knalpot', 'racing', 'sih'];['user', 'kayak', 'knalpot', 'racing', 'sih'];user kayak knalpot racing sih;user kayak knalpot racing sih
91;@ernestprakasa Mobil/ motor listrik itu bisa ganti pake knalpot racing gak sih?;0;user mobil motor listrik itu bisa ganti pake knalpot racing gak sih;['user', 'mobil', 'motor', 'listrik', 'itu', 'bisa', 'ganti', 'pake', 'knalpot', 'racing', 'gak', 'sih'];['user', 'mobil', 'motor', 'listrik', 'itu', 'bisa', 'ganti', 'pakai', 'knalpot', 'racing', 'tidak', 'sih'];['user', 'mobil', 'motor', 'listrik', 'ganti', 'pakai', 'knalpot', 'racing', 'sih'];user mobil motor listrik ganti pakai knalpot racing sih;user mobil motor listrik ganti pakai knalpot racing sih
92;@MilNaGanteng A. motor soalny nadit koleksi knalpot racing https://t.co/Z3HuqjyYVe;0;user motor soalny nadit koleksi knalpot racing;['user', 'motor', 'soalny', 'nadit', 'koleksi', 'knalpot', 'racing'];['user', 'motor', 'soalny', 'nadit', 'koleksi', 'knalpot', 'racing'];['user', 'motor', 'soalny', 'nadit', 'koleksi', 'knalpot', 'racing'];user motor soalny nadit koleksi knalpot racing;user motor soalny nadit koleksi knalpot racing
93;"di lehermu terkalung sebuah pod
yang kau hisap sampai kempot
layaknya racing knalpot
yang selalu membuat kita repot";-1;di lehermu terkalung sebuah pod yang kau hisap sampai kempot layaknya racing knalpot yang selalu membuat kita repot;['di', 'lehermu', 'terkalung', 'sebuah', 'pod', 'yang', 'kau', 'hisap', 'sampai', 'kempot', 'layaknya', 'racing', 'knalpot', 'yang', 'selalu', 'membuat', 'kita', 'repot'];['di', 'lehermu', 'terkalung', 'sebuah', 'pod', 'yang', 'kau', 'hisap', 'sampai', 'kempot', 'layaknya', 'racing', 'knalpot', 'yang', 'selalu', 'membuat', 'kita', 'repot'];['lehermu', 'terkalung', 'pod', 'kau', 'hisap', 'kempot', 'layaknya', 'racing', 'knalpot', 'repot'];lehermu terkalung pod kau hisap kempot layaknya racing knalpot repot;leher kalung pod kau hisap kempot layak racing knalpot repot
94;Bebas lah rek make naon ge asal tong nganggo knalpot racing nu gandeng weh!!! Red flag pake banget 🚩 https://t.co/zoJME2TkW0;1;bebas lah rek make naon ge asal tong nganggo knalpot racing nu gandeng weh repeated red flag pake banget;['bebas', 'lah', 'rek', 'make', 'naon', 'ge', 'asal', 'tong', 'nganggo', 'knalpot', 'racing', 'nu', 'gandeng', 'weh', 'repeated', 'red', 'flag', 'pake', 'banget'];['bebas', 'lah', 'rek', 'make', 'naon', 'ge', 'asal', 'tong', 'nganggo', 'knalpot', 'racing', 'nu', 'gandeng', 'weh', 'repeated', 'red', 'flag', 'pakai', 'banget'];['bebas', 'rek', 'make', 'naon', 'ge', 'tong', 'nganggo', 'knalpot', 'racing', 'nu', 'gandeng', 'weh', 'repeated', 'red', 'flag', 'pakai', 'banget'];bebas rek make naon ge tong nganggo knalpot racing nu gandeng weh repeated red flag pakai banget;bebas rek make naon ge tong nganggo knalpot racing nu gandeng weh repeated red flag pakai banget
95;@jek___ tat lu pernah ga pas kentut suaranya kek knalpot racing?;1;user tat lu pernah ga pas kentut suaranya kek knalpot racing;['user', 'tat', 'lu', 'pernah', 'ga', 'pas', 'kentut', 'suaranya', 'kek', 'knalpot', 'racing'];['user', 'tat', 'kamu', 'pernah', 'tidak', 'cocok', 'kentut', 'suaranya', 'kayak', 'knalpot', 'racing'];['user', 'tat', 'cocok', 'kentut', 'suaranya', 'kayak', 'knalpot', 'racing'];user tat cocok kentut suaranya kayak knalpot racing;user tat cocok kentut suara kayak knalpot racing
96;Saya menjual knalpot cb150 r face... seharga Rp550.000. Dapatkan di Shopee sekarang! https://t.co/cnxFDtiS0j… https://t.co/avDXU7d4W1;0;saya menjual knalpot cb150 face repeated seharga rp550 number dapatkan di shopee sekarang;['saya', 'menjual', 'knalpot', 'cb150', 'face', 'repeated', 'seharga', 'rp550', 'number', 'dapatkan', 'di', 'shopee', 'sekarang'];['saya', 'menjual', 'knalpot', 'cb150', 'face', 'repeated', 'seharga', 'rp550', 'number', 'dapatkan', 'di', 'shopee', 'sekarang'];['menjual', 'knalpot', 'cb150', 'face', 'repeated', 'seharga', 'rp550', 'number', 'dapatkan', 'shopee'];menjual knalpot cb150 face repeated seharga rp550 number dapatkan shopee;jual knalpot cb150 face repeated harga rp550 number dapat shopee
97;Saya menjual knalpot fiz r stainl... seharga Rp650.000. Dapatkan di Shopee sekarang! https://t.co/4IqQ71uUaG… https://t.co/JtVpa5ec6v;0;saya menjual knalpot fiz stainl repeated seharga rp650 number dapatkan di shopee sekarang;['saya', 'menjual', 'knalpot', 'fiz', 'stainl', 'repeated', 'seharga', 'rp650', 'number', 'dapatkan', 'di', 'shopee', 'sekarang'];['saya', 'menjual', 'knalpot', 'fiz', 'stainl', 'repeated', 'seharga', 'rp650', 'number', 'dapatkan', 'di', 'shopee', 'sekarang'];['menjual', 'knalpot', 'fiz', 'stainl', 'repeated', 'seharga', 'rp650', 'number', 'dapatkan', 'shopee'];menjual knalpot fiz stainl repeated seharga rp650 number dapatkan shopee;jual knalpot fiz stainl repeated harga rp650 number dapat shopee
98;@guddayla @cursedkidd gmw,, wili pke knalpot racing;0;user user gmw wili pke knalpot racing;['user', 'user', 'gmw', 'wili', 'pke', 'knalpot', 'racing'];['user', 'user', 'gmw', 'wili', 'pakai', 'knalpot', 'racing'];['user', 'user', 'gmw', 'wili', 'pakai', 'knalpot', 'racing'];user user gmw wili pakai knalpot racing;user user gmw wili pakai knalpot racing
99;tolong pak sekalian motor cc kecil yg pake knalpot racing ditertibin, pembalap bukan bikin bising aja https://t.co/V5jPmExZmL;-1;tolong pak sekalian motor cc kecil yg pake knalpot racing ditertibin pembalap bukan bikin bising aja;['tolong', 'pak', 'sekalian', 'motor', 'cc', 'kecil', 'yg', 'pake', 'knalpot', 'racing', 'ditertibin', 'pembalap', 'bukan', 'bikin', 'bising', 'aja'];['tolong', 'pak', 'sekalian', 'motor', 'cc', 'kecil', 'yang', 'pakai', 'knalpot', 'racing', 'ditertibin', 'pembalap', 'bukan', 'membuat', 'bising', 'saja'];['tolong', 'motor', 'cc', 'pakai', 'knalpot', 'racing', 'ditertibin', 'pembalap', 'bising'];tolong motor cc pakai knalpot racing ditertibin pembalap bising;tolong motor cc pakai knalpot racing ditertibin balap bising
